ID,facilitycode,district,dcode,name,lab,ftype,managedby,resultdeliverymode,deliverymode,smsprinter,resultsdeliverysponsor,contactperson,contacttelephone,contactperson2,contacttelephone2,smsprinterserialno,smsprinterversion,smsinstalldate,smsprinterno,PUK,PIN,simcardno,network,telephone,fax,email,PostalAddress,physicaladdress,ContactEmail,Flag,telephone2
"0403","0403","25","Rumphi","Chitimba Health Center","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0404","0404","25","Rumphi","DGM Livingstonia Hospital","3","Hospital","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0408","0408","25","Rumphi","Katowo Rural Hospital","3","Rural Hospital","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0409","0409","25","Rumphi","Luwuchi Health Center","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0411","0411","25","Rumphi","Mhuju Hospital","3","Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0412","0412","25","Rumphi","Mlowe Health Center","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0413","0413","25","Rumphi","Mphopha Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0414","0414","25","Rumphi","Mwazisi Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0415","0415","25","Rumphi","Mzokoto Health Center","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0416","0416","25","Rumphi","Nthenje Dispensary","3","Dispensary","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
